"data_id","age","language","form","birth_order","ethnicity","sex","zygosity","original_id","norming","longitudinal","source_name","mom_ed","measure","vocab","cross_sectional","demo","n","demo_label"
129286,28,"English (American)","WS","Second","Hispanic","Male",NA,"L1156",TRUE,FALSE,"Marchman","Secondary","production",215,TRUE,"All Data",4867,"All Data (n = 4867)"
129287,22,"English (American)","WS","Sixth","Black","Male",NA,"L1157",TRUE,FALSE,"Marchman","Some Secondary","production",323,TRUE,"All Data",4867,"All Data (n = 4867)"
129288,30,"English (American)","WS","Second","Other","Male",NA,"L116",TRUE,FALSE,"Marchman","Some Secondary","production",316,TRUE,"All Data",4867,"All Data (n = 4867)"
129289,25,"English (American)","WS","Second","Hispanic","Female",NA,"L1160",TRUE,FALSE,"Marchman","Secondary","production",141,TRUE,"All Data",4867,"All Data (n = 4867)"
129290,23,"English (American)","WS","Fourth","Other","Male",NA,"L124",TRUE,FALSE,"Marchman","College","production",237,TRUE,"All Data",4867,"All Data (n = 4867)"
129291,21,"English (American)","WS","Third","Black","Male",NA,"L126",TRUE,FALSE,"Marchman","Secondary","production",206,TRUE,"All Data",4867,"All Data (n = 4867)"
129292,23,"English (American)","WS","Fourth","Other","Female",NA,"L127",TRUE,FALSE,"Marchman","Secondary","production",91,TRUE,"All Data",4867,"All Data (n = 4867)"
129293,24,"English (American)","WS","Third","Hispanic","Female",NA,"L128",TRUE,FALSE,"Marchman","Some College","production",266,TRUE,"All Data",4867,"All Data (n = 4867)"
129294,23,"English (American)","WS","Second","Hispanic","Female",NA,"L131",TRUE,FALSE,"Marchman","Some Secondary","production",66,TRUE,"All Data",4867,"All Data (n = 4867)"
129295,19,"English (American)","WS","Second","Hispanic","Female",NA,"L132",TRUE,FALSE,"Marchman","Some Secondary","production",72,TRUE,"All Data",4867,"All Data (n = 4867)"
129296,27,"English (American)","WS","Second","Other","Male",NA,"L135",TRUE,FALSE,"Marchman","Secondary","production",183,TRUE,"All Data",4867,"All Data (n = 4867)"
129297,28,"English (American)","WS","Second","Hispanic","Male",NA,"L138",TRUE,FALSE,"Marchman","Some Secondary","production",212,TRUE,"All Data",4867,"All Data (n = 4867)"
129298,28,"English (American)","WS","Second","Hispanic","Female",NA,"L144",TRUE,FALSE,"Marchman","Secondary","production",226,TRUE,"All Data",4867,"All Data (n = 4867)"
129299,27,"English (American)","WS","Second","Black","Female",NA,"L147",TRUE,FALSE,"Marchman","Secondary","production",289,TRUE,"All Data",4867,"All Data (n = 4867)"
129300,17,"English (American)","WS","Fifth","Hispanic","Female",NA,"L149",TRUE,FALSE,"Marchman","Some Secondary","production",39,TRUE,"All Data",4867,"All Data (n = 4867)"
129301,27,"English (American)","WS","Fourth","Hispanic","Female",NA,"L152",TRUE,FALSE,"Marchman","Secondary","production",65,TRUE,"All Data",4867,"All Data (n = 4867)"
129302,28,"English (American)","WS","Fourth","Hispanic","Male",NA,"L153",TRUE,FALSE,"Marchman","Secondary","production",301,TRUE,"All Data",4867,"All Data (n = 4867)"
129303,18,"English (American)","WS","Second","Hispanic","Male",NA,"L154",TRUE,FALSE,"Marchman","Some Secondary","production",45,TRUE,"All Data",4867,"All Data (n = 4867)"
129304,30,"English (American)","WS","Third","Black","Male",NA,"L156",TRUE,FALSE,"Marchman","Some Secondary","production",530,TRUE,"All Data",4867,"All Data (n = 4867)"
129305,29,"English (American)","WS","Second","Black","Male",NA,"L158",TRUE,FALSE,"Marchman","Some College","production",603,TRUE,"All Data",4867,"All Data (n = 4867)"
